company,A,H,n_obs,ADV_A,ADV_H,prem_std,half_life
HUANENG POWER,600011.SS,0902.HK,1929,452729311.29200006,133506970.30261888,0.3568643731155962,102.39082278375204
CONCH CEMENT,600585.SS,0914.HK,1929,730531116.8271358,197060030.24025348,0.1286170830027819,58.65516686700561
CHINA LONGYUAN,001289.SZ,0916.HK,1152,112884009.06529723,180787622.95635855,0.6121016041541801,114.11552047035136
HISENSE HA,000921.SZ,0921.HK,1929,185538939.32366073,28090795.549130075,0.25050513974144445,66.43836079790725
CCB,601939.SS,0939.HK,1929,602422196.8254195,1418773570.6008399,0.10897521351977772,47.4179825741625
CHINA MOBILE,600941.SS,0941.HK,1165,1007202723.8679872,1293346717.7016008,0.14682918108397985,69.41918549472632
CHINA SUNTIEN,600956.SS,0956.HK,1554,126786493.990967,37689568.930150025,1.4450206433447497,149.74639389962442
SMIC,688981.SS,0981.HK,1541,3449014480.5542173,2690037461.276202,0.4911140945076719,63.90863486669718
DATANG POWER,601991.SS,0991.HK,1929,424912084.65509117,37554522.628256515,0.39763974014358905,66.83445000240698
ANHUIEXPRESSWAY,600012.SS,0995.HK,1929,51619817.715187386,10830173.205969078,0.1866430112262144,58.23853949003084
CITIC BANK,601998.SS,0998.HK,1929,238327333.05347756,116776689.55691445,0.26297611495705187,225.80847405707735
SINOPEC SSC,600871.SS,1033.HK,1929,173173214.49511218,23673921.624616403,0.4344359802995556,30.929125608346197
CHONGQING IRON,601005.SS,1053.HK,1929,174051655.9806135,15840956.969614012,0.3284139215471389,58.09525740896264
CHINA SOUTH AIR,600029.SS,1055.HK,1929,363186808.37185615,70808985.29993421,0.20725149979766166,55.40009785099663
ZHEJIANG SHIBAO,002703.SZ,1057.HK,1929,331727089.4368738,31883048.131692726,1.4551857297427706,89.58281889393943
TIANJIN CAPITAL,600874.SS,1065.HK,1929,58613723.66200846,2368735.0744453534,0.7328252339326531,234.67951894867994
HUADIAN POWER,600027.SS,1071.HK,1929,311674340.5248186,39537996.03881627,0.31905391861387855,109.1224439346742
DONGFANG ELEC,600875.SS,1072.HK,1929,649246268.1407827,81479895.84815454,0.4666000091293876,132.88386800175934
CHINA SHENHUA,601088.SS,1088.HK,1929,739585026.140214,364649188.3084381,0.17448771652250736,96.0690059106814
TRIUMPH NEW EN,600876.SS,1108.HK,1929,96800757.35068877,21126891.718163013,1.605241967681547,220.83552454612263
COSCO SHIP ENGY,600026.SS,1138.HK,1929,452856425.3815398,119484500.45961247,0.43772201731946886,102.97142350469178
ZOOMLION,000157.SZ,1157.HK,1929,414553148.8799587,51174952.13411045,0.28662835883768684,121.81561623858174
YANKUANG ENERGY,600188.SS,1171.HK,1929,488116915.641715,197175941.94644406,0.4742545542542669,111.06637777547662
CHINA RAIL CONS,601186.SS,1186.HK,1929,510209872.47758186,52132511.61671451,0.2882102987276973,123.76504395612135
BYD COMPANY,002594.SZ,1211.HK,1929,3862700956.8951054,1859824545.349683,0.136914321705054,43.22141528156058
ABC,601288.SS,1288.HK,1929,1194468379.943787,342021123.4327264,0.08308285519006837,32.60124913882449
DYNAGREEN ENV,601330.SS,1330.HK,1929,95858000.27008091,4901493.020787483,1.050097137799473,160.2082980000951
NCI,601336.SS,1336.HK,1929,690310159.247275,225301354.1935425,0.3576833260909077,121.12557855954991
PICC GROUP,601319.SS,1339.HK,1929,415733116.8431723,120734485.85003063,0.8145066961250851,346.4459910618359
HUA HONG SEMI,688347.SS,1347.HK,767,1691215129.3053033,1716869812.7407053,0.4005087940187348,48.74620800861781
FUDANZHANGJIANG,688505.SS,1349.HK,1559,56168968.508446656,8383481.296220183,1.0545031014676698,84.96056936937048
CC SECURITIES,601375.SS,1375.HK,1929,251621766.8805594,23175181.707495727,0.7497454560709654,108.48059884459359
SHANGHAI FUDAN,688385.SS,1385.HK,1274,518572135.05959636,131876848.17269228,0.48072556759662394,49.57893106753091
ICBC,601398.SS,1398.HK,1929,1304605942.1363702,914919534.602911,0.08992719242563206,43.561783738355494
GLMS SEC,601456.SS,1456.HK,1530,565964207.463416,24581793.33309856,1.1097757087289115,107.88041990540673
LIVZON PHARMA,000513.SZ,1513.HK,1929,243905277.96893555,19769765.495881602,0.16104175346434213,43.87033962947828
RS MACALLINE,601828.SS,1528.HK,1929,84683149.22333409,8634922.418625223,0.28411972201572533,38.469011576507604
MCC,601618.SS,1618.HK,1929,398450044.0622693,29650359.390258323,0.25892929073998605,52.06534732565628
DZUG,600635.SS,1635.HK,1929,228205784.43082377,36240355.45409786,0.37271686129764237,41.38210601042323
PSBC,601658.SS,1658.HK,1693,616573903.0111148,202337894.36524627,0.11078381301222709,43.91328445609171
CRRC,601766.SS,1766.HK,1929,534824080.18220675,79565749.43723698,0.35726317458447715,212.332988219017
GANFENGLITHIUM,002460.SZ,1772.HK,1929,2303939909.0906835,343369561.15768653,0.3386593933905957,75.9183758742732
GF SEC,000776.SZ,1776.HK,1929,928225044.2502499,75222407.07273735,0.2655148473854831,77.49285743725312
SD GOLD,600547.SS,1787.HK,1929,994214068.65147,164274263.79875252,0.25659297468795655,91.50412664429088
CHINA COMM CONS,601800.SS,1800.HK,1929,430048255.0711471,66120794.46114829,0.4072391295500827,139.0743417049109
CHENMING PAPER,000488.SZ,1812.HK,1929,169330252.17723143,12948252.722176116,0.47124673994906097,104.41181240595857
CGN POWER,003816.SZ,1816.HK,1767,377057086.40800935,100596189.56663194,0.28261033926284834,93.46282596819609
CHUNLI MEDICAL,688236.SS,1858.HK,1169,37322212.37276866,9521040.50398287,0.3283532000631246,37.04028407759939
JUNSHI BIO,688180.SS,1877.HK,1542,440460036.74077857,85496732.7774643,0.4055601722274187,48.53921856434372
CTG DUTY-FREE,601888.SS,1880.HK,1005,1982016046.781521,154945845.74719015,0.10552601693019677,18.69549054179753
CHINA COAL,601898.SS,1898.HK,1929,290993791.5870531,103601402.42292197,0.38274973747439217,169.36833589369095
COSCO SHIP HOLD,601919.SS,1919.HK,1929,1025255028.3001434,206257251.31329343,0.4241332574255211,182.17099642193705
BCQ,601963.SS,1963.HK,1398,103192391.41654621,7906852.640173605,0.5982226524726509,91.26352406370184
MINSHENG BANK,600016.SS,1988.HK,1929,495787003.7564541,76057978.43855608,0.20239580155203665,175.7198511594496
BBMG,601992.SS,2009.HK,1929,96139319.40211275,9839828.447711568,0.44970119100673006,89.57568697299358
CZBANK,601916.SS,2016.HK,1703,264330197.67729884,13710230.80887575,0.10746264881473186,39.100334984176975
CIMC,000039.SZ,2039.HK,1929,249265213.60988343,19439524.230438113,0.19206611131436307,48.68363546476711
CHALIECO,601068.SS,2068.HK,1929,112884993.67079212,13345517.641062716,0.4139732608937034,23.535176992635055
FOSUN PHARMA,600196.SS,2196.HK,1929,1148529475.2372422,134271208.79724637,0.2323027789307575,54.791317307383764
CHINA VANKE,000002.SZ,2202.HK,1929,1430128180.6592505,210545805.2806952,0.19249411316227832,49.26190050615166
GOLDWIND,002202.SZ,2208.HK,1929,1104724486.738067,111830874.25483494,0.45231279677671,145.87891189389376
ANDRE JUICE,605198.SS,2218.HK,1495,64623835.61292888,9673025.91377789,0.6430233567323448,27.052046011001742
GAC GROUP,601238.SS,2238.HK,1929,335897067.5510165,135105806.15886667,0.4869742661838758,109.83869397359787
PING AN,601318.SS,2318.HK,1929,3315124171.27746,1806519189.8695083,0.09413493242249932,34.732677183674156
GWMOTOR,601633.SS,2333.HK,1929,623974184.7810754,379610849.0692558,0.6186504553456881,124.27946514713389
WEICHAI POWER,000338.SZ,2338.HK,1929,1058790999.7921516,174976771.65849715,0.1239642516044992,45.872809722501536
WUXI APPTEC,603259.SS,2359.HK,1929,2478125274.8768663,329780646.57729346,0.10088099637213878,24.565588051384136
SINOHYTEC,688339.SS,2402.HK,908,117092462.0343121,15584914.268090183,0.22804590742483868,61.294436532780445
LOPAL TECH,603906.SS,2465.HK,453,649841963.7419133,142208025.6541315,0.3551870078774556,22.614728621571473
CHALCO,601600.SS,2600.HK,1929,1176303582.8696232,194910404.84711215,0.24225542888690685,76.6041161265816
CPIC,601601.SS,2601.HK,1929,917714189.8795059,303496448.60916984,0.14679533141498635,42.06565202928474
SH PHARMA,601607.SS,2607.HK,1929,285137196.1159964,38462759.7465443,0.14643590700432035,29.2060423155905
GTHT,601211.SS,2611.HK,1929,799624578.9817756,65407930.12443522,0.26509371390945535,82.34800193416909
CHINA LIFE,601628.SS,2628.HK,1929,570398842.5733161,704432494.9233767,0.6541868459722257,193.26571630006546
SH ELECTRIC,601727.SS,2727.HK,1929,702054232.6257945,73230071.00585082,0.26691863895317497,29.125903892842537
COSCO SHIP DEV,601866.SS,2866.HK,1929,179084951.52870908,16153402.213862617,0.6158838940253822,88.94716462497396
LIAONING PORT,601880.SS,2880.HK,1929,113608607.86362842,2805305.99428693,0.4257559116825882,91.50885556100985
CHINA OILFIELD,601808.SS,2883.HK,1929,170415952.10902885,84786805.02431424,0.35805894712580366,58.85901019386712
ZIJIN MINING,601899.SS,2899.HK,1929,2993071980.21685,647160657.383159,0.13262026549835712,53.675733843538424
BANKCOMM,601328.SS,3328.HK,1929,599124193.107051,105670961.45704599,0.0962737287628689,53.36371892740289
TIGERMED,300347.SZ,3347.HK,1525,761548829.6965606,104998592.25918905,0.25156106521671845,41.78620094216237
QHD PORT,601326.SS,3369.HK,1929,56622425.39884885,3227675.1541343043,0.6099522183099781,239.38339061460647
FUYAO GLASS,600660.SS,3606.HK,1929,589781694.3512522,102088977.63882673,0.11112264078210471,30.22939351931798
CQRC BANK,601077.SS,3618.HK,1723,243393661.9476839,34484680.946468465,0.32763668127899304,103.34056064691498
HOLLY FUTURES,001236.SZ,3678.HK,1019,224603871.68776047,54396916.783011824,3.1272540727561298,162.86159443938595
CATL,300750.SZ,3750.HK,316,11172658874.283142,1675663159.4186757,0.0670438616128111,22.54944549907918
PHARMARON,300759.SZ,3759.HK,1701,738463628.0427893,121031155.55815896,0.35241757625491116,70.63597540894315
BQD,002948.SZ,3866.HK,1919,121631599.7664532,5444569.711092823,0.21436824397023724,66.54416241683987
TIMES ELECTRIC,688187.SS,3898.HK,1250,312491140.5890717,118710983.72492114,0.24918965838189586,44.38468480962372
CICC,601995.SS,3908.HK,1466,846883460.4496373,276770645.51067835,0.691335891342241,113.26530331951763
DFZQ,600958.SS,3958.HK,1929,681689627.6198633,32760308.07545521,0.4516124127372716,82.96466381044324
CM BANK,600036.SS,3968.HK,1929,2133688736.5570953,674046574.7212476,0.06742045679351029,26.707126587493537
CHINA CRSC,688009.SS,3969.HK,1789,178386029.4799457,15929363.124686398,0.36966979085450746,87.27079926636311
BANK OF CHINA,601988.SS,3988.HK,1929,683124330.4280175,703184725.805172,0.09879237803375751,47.93633024546359
CMOC,603993.SS,3993.HK,1929,1586044703.1725488,248909171.07279694,0.2084337260006333,64.88769219237035
CH ENERGY ENG,601868.SS,3996.HK,1235,920642467.1287018,44229635.44401539,0.3422810324882062,43.310255110139465
CITIC SEC,600030.SS,6030.HK,1929,2899013274.2928047,284384271.4893495,0.24487892984248258,102.80321882923276
CSC,601066.SS,6066.HK,1929,796541450.3607819,77753555.79301627,1.2525683608366922,164.5882780534802
CMSC,600999.SS,6099.HK,1929,508856725.6755203,64802441.71109769,0.49070808792348813,137.49696409935024
JOINN,603127.SS,6127.HK,1385,497093117.02228856,52056675.52434353,0.2860330821368854,29.330234503278863
BEONE MEDICINES,688235.SS,6160.HK,1180,491874572.4721895,400431687.73121494,0.21087208713989455,52.87198689920753
EB SECURITIES,601788.SS,6178.HK,1929,795153281.2629074,25123094.196757324,0.6205362995066572,95.23260492932775
CANSINOBIO,688185.SS,6185.HK,1521,367850085.21445256,155608454.32788518,0.5709897092216009,80.4179937808209
BANKOFZHENGZHOU,002936.SZ,6196.HK,1929,133605449.21649922,7308317.301293252,0.2558250961194247,55.903493892638714
QINGDAO PORT,601298.SS,6198.HK,1913,104186548.37278174,9903699.844908183,0.23292479846238565,49.33474090249712
HX BLDG MAT,600801.SS,6655.HK,1110,195478846.67245784,36578096.934539266,0.357291095336087,83.39894124269557
JLMAG,300748.SZ,6680.HK,1158,761668296.3509308,82770791.6533027,0.34090722417170466,51.10160485495637
HAIER SMARTHOME,600690.SS,6690.HK,1429,895406140.1561004,298531831.0096207,0.047331713974442725,7.345967477626653
SWHY,000166.SZ,6806.HK,1851,394066336.8647019,26544337.31172904,0.6305197003331373,141.75081930961377
CEB BANK,601818.SS,6818.HK,1929,417327451.3069945,30573859.002114467,0.18123373637981013,123.10157016718567
ASYMCHEM,002821.SZ,6821.HK,1183,678294788.4900739,34183167.305633806,0.17982116988247995,27.683371273364497
HAOHAI BIOTEC,688366.SS,6826.HK,1722,87824958.41554599,14170810.206000756,0.24371487754794327,15.588958019106142
FLAT GLASS,601865.SS,6865.HK,1882,385729957.09983665,113897751.98675802,0.5805812201740643,37.827279693752644
YOFC,601869.SS,6869.HK,1929,625600723.2726439,452375257.42033297,0.4978177827265199,48.65075809949575
CGS,601881.SS,6881.HK,1929,626762414.6553564,131179622.48885243,0.6723276787531018,162.4646350481349
HTSC,601688.SS,6886.HK,1929,1229154628.4537518,93111258.98794046,0.23727499232236907,85.33547176380411
TIANQI LITHIUM,002466.SZ,9696.HK,1036,2308416859.409641,149201502.827771,0.16236131694819997,29.868540830195982
INNOCARE,688428.SS,9969.HK,987,139519536.83485836,81615377.54789373,0.3213266345630707,45.23494494157546
HEPALINK,002399.SZ,9989.HK,1547,63957746.67332239,9151432.432055058,0.5439310424044113,97.68730981968366
REMEGEN,688331.SS,9995.HK,1107,347490596.0732638,204246183.41236034,0.38174997149311657,42.98523536753048
